Course_Name,Rating,Organization,Link,About,Skills
Passwordless Login Solutions for iOS,intermediate1 Week,School of Programming & Development,https://www.udacity.com//course/passwordless-login-solutions-for-ios--ud1028,"In this course you'll implement Account Kit and Facebook Login side by side in a sample app, test our login flow on a series of common use cases, and wrap things up with an introduction to Facebook’s Graph API.","Account Kit, Facebook SDK, Graph API"
Version Control with Git,beginner4 Weeks,School of Programming & Development,https://www.udacity.com//course/version-control-with-git--ud123,"Learn how to use Git, a popular Version Control System and essential tool for any developer.","Git, Version Control, Creating a Git repo, Editing commits"
Firebase in a Weekend: iOS,intermediate2 Days,School of Programming & Development,https://www.udacity.com//course/firebase-in-a-weekend-by-google-ios--ud0351,This course will teach you when and why to choose Firebase as a backend for your iOS application.,Android Development
Intro to Point & Click App Development,beginner1 Month,School of Programming & Development,https://www.udacity.com//course/intro-to-point-click-app-development--ud162,In this short class you'll build powerful apps without writing code. Great if you're an aspiring developer or someone who wants to learn what programmers do.,"Salesforce App Development, Schema Building, Data Modeling"
Deploying Applications with Heroku,intermediate1 Week,School of Programming & Development,https://www.udacity.com//course/deploying-applications-with-heroku--ud272,Deploy your first web application using the Heroku platform and learn about the underlying mechanics of web hosting.,"App Deployment, Heroku"
Applied Cryptography,advanced2 Months,School of Programming & Development,https://www.udacity.com//course/applied-cryptography--cs387,"Cryptography is present in everyday life, from paying with a credit card to using the telephone.  Learn all about making and breaking puzzles in computing.","Cryptography, Ciphers, Encryption"
Java Programming Basics,beginner6 Weeks,School of Programming & Development,https://www.udacity.com//course/java-programming-basics--ud282,"Take your first steps towards becoming a Java developer! Learn Java syntax and create conditional statements, loops, and functions.","Java Programming, Java Syntax, Java Functions, Loops"
C++ For Programmers,intermediate3 Weeks,School of Programming & Development,https://www.udacity.com//course/c-for-programmers--ud210,"This course teaches C++ to students already familiar with a programming language. Students will learn how to use header files, control flow, functions, classes.","Pointers and Arrays, Control Flow, Object-Oriented Programming, C++ Templates, C++ Standard Library"
Intro to Backend,intermediate3 Weeks,School of Programming & Development,https://www.udacity.com//course/intro-to-backend--ud171,Learn to build a multiuser blog with Google App Engine that permits users to sign in,"User Input, Producing templated output, Databases and data stores, Secure user account systems"
JavaScript and the DOM,intermediate4 Weeks,School of Programming & Development,https://www.udacity.com//course/javascript-and-the-dom--ud117,,
Firebase Analytics: Android,intermediate2 Days,School of Programming & Development,https://www.udacity.com//course/firebase-analytics-android--ud354,"Learn how to grow an app's user base using Firebase Analytics, a free and unlimited analytics solution","Android Development, Firebase, Analytics"
Configuring Linux Web Servers,1 Week,School of Programming & Development,https://www.udacity.com//course/configuring-linux-web-servers--ud299,,
How to Make an iOS App,advanced3 Months,School of Programming & Development,https://www.udacity.com//course/how-to-make-an-ios-app--ud607,"Learn the process of building an app, taking your ideas from drawing board to App Store!","iOS, Ideation and Research, UI, App Store"
Intro to DevOps,advanced3 Weeks,School of Programming & Development,https://www.udacity.com//course/intro-to-devops--ud611,"Learn all about the DevOps landscape, workflow, and a survey of the systems currently being used to support scalable software deployment.","DevOps, CAMS principles, Continuous Integration, Delivery workflows"
Google Maps APIs,intermediate2 Weeks,School of Programming & Development,https://www.udacity.com//course/google-maps-apis--ud864,This course will introduce you to the content available through the Google Maps APIs through building a real-estate listings web application step-by-step.,"Google Maps APIs, Static Maps, Street View imagery, monitoring API usage"
Passwordless Login Solutions for Android,1 Week,School of Programming & Development,https://www.udacity.com//course/passwordless-login-solutions-for-android--ud357,,
Mobile Design and Usability for Android,intermediate2 Weeks,School of Programming & Development,https://www.udacity.com//course/mobile-design-and-usability-for-android--ud358,"In this course, taught in collaboration with Facebook, you'll learn how to design an intuitive, user-centered mobile app, from product conception to release.","Android, Mobile Design, Usability"
iOS Design Patterns,intermediate2 Days,School of Programming & Development,https://www.udacity.com//course/ios-design-patterns--ud1029,"In this course, you'll explore iOS design patterns — the practical and battle-tested solutions to common problems that are used everyday by developers.",
Intro to Psychology,beginner4 Months,School of Programming & Development,https://www.udacity.com//course/intro-to-psychology--ps001,Go on a journey through psychological concepts and principles to enable you to gain a more in-depth understanding of human thought and behavior.,"Pyschology, Research Methods, Biology"
Engagement & Monetization | Mobile Games,beginner3 Weeks,School of Programming & Development,https://www.udacity.com//course/engagement-monetization-mobile-games--ud407,"You will learn the most effective monetization strategies for your game, how to  keep your players interested and engaged, so that your game stands out in the app store.","Game Development, Monetization, Engagement"
Material Design for Android Developers,intermediate4 Weeks,School of Programming & Development,https://www.udacity.com//course/material-design-for-android-developers--ud862,Learn and apply the material design principles that define Android's visual language to your apps.,"Android Development, Material Design, Surfaces, Graphic Design"
Craft Your Cover Letter,beginner1 Day,Career Advancement,https://www.udacity.com//course/craft-your-cover-letter--ud244,Write a compelling narrative that showcases your value to the company.,"Creating a narrative, Targeting your pitch, Communicating value, Career Advancement"
Refresh Your Resume,beginner2 Days,Career Advancement,https://www.udacity.com//course/refresh-your-resume--ud243,Create a targeted resume that gets the attention of recruiters and lands you an interview in tech.,"Resume writing, Company targeting, Storytelling, Career Advancement"
Strengthen Your LinkedIn Network & Brand,beginner1 Week,Career Advancement,https://www.udacity.com//course/strengthen-your-linkedin-network-and-brand--ud242,Learn how to excel at networking both in-person and on LinkedIn.,"Personal branding, LinkedIn, Networking, Career Advancement"
Data Science Interview Prep,intermediate1 Week,Career Advancement,https://www.udacity.com//course/data-science-interview-prep--ud944,"Prepare for data science interviews by practicing data analysis, machine learning, and data structure and algorithms questions.","Interview practice, Common Data Questions, Data Structures, Career Advancement"
Android Interview Prep,intermediate1 Week,Career Advancement,https://www.udacity.com//course/android-interview-prep--ud241,Learn how to respond to common Android and mobile development interview questions.,"Interview practice, Common Android Questions, Whiteboarding"
Machine Learning Interview Preparation,intermediate1 Week,Career Advancement,https://www.udacity.com//course/machine-learning-interview-prep--ud1001,"In this course, you’ll learn exactly what to expect during a machine learning interview.","Interview practice, Machine Learning, Career Advancement"
Front-End Interview Prep,intermediate1 Week,Career Advancement,https://www.udacity.com//course/front-end-interview-prep--ud250,Answer front-end technical and behavioral interview questions with confidence and poise.,"Interview questions, Common FE Questions, Whiteboarding, Career Advancement"
Full-Stack Interview Prep,intermediate1 Week,Career Advancement,https://www.udacity.com//course/full-stack-interview-prep--ud252,Answer common full stack and web security interview questions with confidence and poise.,"Interview practice, Common FS Questions, Whiteboarding, Career Advancement"
Data Structures & Algorithms in Swift,intermediate4 Weeks,Career Advancement,https://www.udacity.com//course/data-structures-and-algorithms-in-swift--ud1011,Review and practice the skills technical interviewers expect you to know and learn how to explain your Swift solutions.,"Interview practice, Swift, Data structures, Career Advancement"
iOS Interview Prep,intermediate1 Week,Career Advancement,https://www.udacity.com//course/ios-interview-prep--ud240,Answer iOS and mobile development interview questions with confidence and poise.,"Interview practice, Common iOS Questions, Whiteboarding, Career Advancement"
VR Interview Prep,intermediate1 Week,Career Advancement,https://www.udacity.com//course/vr-interview-prep--ud251,Learn how to tackle interview questions for technical roles in VR Development.,"Interview practice, Common VR Questions, Whiteboarding, Career Advancement"
