Course_Name,Rating,Organization,Link,About,Skills
What is Programming?,beginner1 Day,School of Programming & Development,https://www.udacity.com//course/what-is-programming--ud994,This course is your first step towards a career in programming.,
Building High Conversion Web Forms,intermediate2 Weeks,School of Programming & Development,https://www.udacity.com//course/building-high-conversion-web-forms--ud890,"Increase conversions with best practices for fast, efficient forms! Learn how to design and build web forms for users on any device.","Research HTML5 input types, Datalist input, User input validation with HTML5 attributes, Validate user input using JavaScript, Optimizing forms"
Advanced Android App Development,advanced6 Weeks,School of Programming & Development,https://www.udacity.com//course/advanced-android-app-development--ud855,"Make your app production-ready by applying advanced features like library integration, material design, widgets, receiving cloud messages, and more!","Android Development, Fragments, Libraries, Firebase, Espresso"
Software Architecture & Design,intermediate2 Months,School of Programming & Development,https://www.udacity.com//course/software-architecture-design--ud821,Software Architecture and Design teaches the principles and concepts involved in the analysis and design of large software systems.,"Unified Modeling Language, Object Constraint Language, Software Architecture, Software Design, Code Review"
Authentication & Authorization: OAuth,intermediate2 Weeks,School of Programming & Development,https://www.udacity.com//course/authentication-authorization-oauth--ud330,Learn to implement the OAuth 2.0 framework to allow users to securely and easily login to your web applications.,"Flask, OAuth 2.0, Authentication &amp; Authorization, Python"
Intro to iOS App Development with Swift,intermediate1 Month,School of Programming & Development,https://www.udacity.com//course/intro-to-ios-app-development-with-swift--ud585,Take the first step in becoming an iOS Developer by learning about Swift and writing your first app.,"Swift, UIKit, AVFoundation"
Introduction to Operating Systems,intermediate2 Months,School of Programming & Development,https://www.udacity.com//course/introduction-to-operating-systems--ud923,"Introduction to Operating Systems teaches the basic operating system abstractions, mechanisms, and their implementations.","Processes &amp; Threads, Memory Management, Inter-Process Communication, Resource Virtualization, Distributed File Systems"
Android Basics: Networking,beginner5 Weeks,School of Programming & Development,https://www.udacity.com//course/android-basics-networking--ud843,"This class teaches the basics of networking using Android, and is a part of the Android Basics Nanodegree by Google.","Android Development, JSON Parsing, HTTP Networking, Threads and Parallelism, Control Flow and Conditionals, Preferences"
Web Accessibility,advanced2 Weeks,School of Programming & Development,https://www.udacity.com//course/web-accessibility--ud891,"Get hands-on experience making web applications accessible. You’ll understand when and why users need accessibility, then you’ll dive into how to implement.","Accessibility, Screen Readers, Focus, Semantics, ARIA"
Android Basics: Data Storage,beginner8 Weeks,School of Programming & Development,https://www.udacity.com//course/android-basics-data-storage--ud845,"In this course, you'll learn the basics of data storage in Android, building your first database and an app that could be used for any small business!","Android Development, SQLite, ContentProvider, CursorAdapter &amp; CursorLoader, Database, Design"
Scalable Microservices with Kubernetes,intermediate1 Month,School of Programming & Development,https://www.udacity.com//course/scalable-microservices-with-kubernetes--ud615,"This course is designed to teach you about managing microservices, using Kubernetes. This course is built in partnership with experts such as Google’s Kelsey Hightower.","Microservices, Docker, Kubernetes, Deploying Microservices"
Developing Android Apps with Kotlin,intermediate2 Months,School of Programming & Development,https://www.udacity.com//course/developing-android-apps-with-kotlin--ud9012,Learn the fundamentals of the Kotlin programming language from Kotlin experts at Google.,Android Development
Browser Rendering Optimization,advanced1 Month,School of Programming & Development,https://www.udacity.com//course/browser-rendering-optimization--ud860,This course will demystify the browser's rendering pipeline and make it easy for you to build high performance web apps.,"Browser Rendering Response, Animation, Idle and Load (RAIL), Optimizing JavaScript, How to debug an app"
Learn Swift Programming Syntax,intermediate3 Weeks,School of Programming & Development,https://www.udacity.com//course/learn-swift-programming-syntax--ud902,"This course focuses on the syntax of the Swift programming language. By the end of the course, you'll be able to apply Swift essentials to building iOS apps.","Variables and Constants, Control Flow, Functions, Optionals, OOP"
Offline Web Applications,intermediate3 Weeks,School of Programming & Development,https://www.udacity.com//course/offline-web-applications--ud899,Learn how to develop offline-first web application using Service Workers and IndexedDB.,"Developing offline-first applications, Understanding Lie-Fi, Service Worker DevTools, IndexedDB, IndexedDB asset caching"
Kotlin for Android Developers,advanced1 Week,School of Programming & Development,https://www.udacity.com//course/kotlin-for-android-developers--ud888,"Take an Android app in Java and convert it to Kotlin, learning key features of the Kotlin programming language along the way.","Kotlin, Android"
UX Design for Mobile Developers,beginner6 Weeks,School of Programming & Development,https://www.udacity.com//course/ux-design-for-mobile-developers--ud849,This is a design course made for developers. You'll learn UX design skills which will help you make 5-star mobile apps that your users will love.,"Android, UX Design, User-Centered Design"
Software Development Process,intermediate3 Months,School of Programming & Development,https://www.udacity.com//course/software-development-process--ud805,"Software Development Processes explores requirements engineering, architecture and design, testing, and software quality in general.","Software Development Life Cycle, Requirements Engineering, Design Patterns, Black-Box &amp; White-Box Testing, Agile Development Methodology"
Data Visualization in Tableau,beginner3 Weeks,School of Programming & Development,https://www.udacity.com//course/data-visualization-in-tableau--ud1006,Learn the fundamentals of data visualization and practice communicating with data.,"Tableau, Design of Visualizations, Visual Encodings"
